intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
546;734202564;2023-04-01;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304010000;TrafficFlowObserved;bicycle;False
478;734202564;2023-04-02;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304020000;TrafficFlowObserved;bicycle;False
1266;734202564;2023-04-03;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304030000;TrafficFlowObserved;bicycle;False
1393;734202564;2023-04-04;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304040000;TrafficFlowObserved;bicycle;False
10;734202564;2023-04-05;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304050000;TrafficFlowObserved;bicycle;False
1308;734202564;2023-04-06;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304060000;TrafficFlowObserved;bicycle;False
1181;734202564;2023-04-07;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304070000;TrafficFlowObserved;bicycle;False
607;734202564;2023-04-08;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304080000;TrafficFlowObserved;bicycle;False
493;734202564;2023-04-09;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304090000;TrafficFlowObserved;bicycle;False
523;734202564;2023-04-10;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304100000;TrafficFlowObserved;bicycle;False
1348;734202564;2023-04-11;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304110000;TrafficFlowObserved;bicycle;False
1277;734202564;2023-04-12;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304120000;TrafficFlowObserved;bicycle;False
1313;734202564;2023-04-13;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304130000;TrafficFlowObserved;bicycle;False
1063;734202564;2023-04-14;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304140000;TrafficFlowObserved;bicycle;False
569;734202564;2023-04-15;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304150000;TrafficFlowObserved;bicycle;False
581;734202564;2023-04-16;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304160000;TrafficFlowObserved;bicycle;False
1237;734202564;2023-04-17;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304170000;TrafficFlowObserved;bicycle;False
1377;734202564;2023-04-18;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304180000;TrafficFlowObserved;bicycle;False
1283;734202564;2023-04-19;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304190000;TrafficFlowObserved;bicycle;False
1330;734202564;2023-04-20;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304200000;TrafficFlowObserved;bicycle;False
1066;734202564;2023-04-21;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304210000;TrafficFlowObserved;bicycle;False
517;734202564;2023-04-22;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304220000;TrafficFlowObserved;bicycle;False
388;734202564;2023-04-23;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304230000;TrafficFlowObserved;bicycle;False
951;734202564;2023-04-24;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304240000;TrafficFlowObserved;bicycle;False
1036;734202564;2023-04-25;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304250000;TrafficFlowObserved;bicycle;False
1096;734202564;2023-04-26;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304260000;TrafficFlowObserved;bicycle;False
986;734202564;2023-04-27;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304270000;TrafficFlowObserved;bicycle;False
910;734202564;2023-04-28;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304280000;TrafficFlowObserved;bicycle;False
620;734202564;2023-04-29;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304290000;TrafficFlowObserved;bicycle;False
430;734202564;2023-04-30;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202304300000;TrafficFlowObserved;bicycle;False
773;734202564;2023-05-01;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202305010000;TrafficFlowObserved;bicycle;False
1078;734202564;2023-05-02;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202305020000;TrafficFlowObserved;bicycle;False
1090;734202564;2023-05-03;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202305030000;TrafficFlowObserved;bicycle;False
1071;734202564;2023-05-04;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202305040000;TrafficFlowObserved;bicycle;False
926;734202564;2023-05-05;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202305050000;TrafficFlowObserved;bicycle;False
589;734202564;2023-05-06;3.833600;43.614650;MMM_EcoCompt_X2H20042633_202305060000;TrafficFlowObserved;bicycle;False
