intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
275;135001721;2023-04-01;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304010000;TrafficFlowObserved;bicycle;False
209;135001721;2023-04-02;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304020000;TrafficFlowObserved;bicycle;False
562;135001721;2023-04-03;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304030000;TrafficFlowObserved;bicycle;False
652;135001721;2023-04-04;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304040000;TrafficFlowObserved;bicycle;False
659;135001721;2023-04-05;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304050000;TrafficFlowObserved;bicycle;False
685;135001721;2023-04-06;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304060000;TrafficFlowObserved;bicycle;False
635;135001721;2023-04-07;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304070000;TrafficFlowObserved;bicycle;False
303;135001721;2023-04-08;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304080000;TrafficFlowObserved;bicycle;False
176;135001721;2023-04-09;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304090000;TrafficFlowObserved;bicycle;False
217;135001721;2023-04-10;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304100000;TrafficFlowObserved;bicycle;False
640;135001721;2023-04-11;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304110000;TrafficFlowObserved;bicycle;False
627;135001721;2023-04-12;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304120000;TrafficFlowObserved;bicycle;False
672;135001721;2023-04-13;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304130000;TrafficFlowObserved;bicycle;False
535;135001721;2023-04-14;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304140000;TrafficFlowObserved;bicycle;False
241;135001721;2023-04-15;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304150000;TrafficFlowObserved;bicycle;False
207;135001721;2023-04-16;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304160000;TrafficFlowObserved;bicycle;False
643;135001721;2023-04-17;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304170000;TrafficFlowObserved;bicycle;False
723;135001721;2023-04-18;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304180000;TrafficFlowObserved;bicycle;False
664;135001721;2023-04-19;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304190000;TrafficFlowObserved;bicycle;False
685;135001721;2023-04-20;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304200000;TrafficFlowObserved;bicycle;False
579;135001721;2023-04-21;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304210000;TrafficFlowObserved;bicycle;False
254;135001721;2023-04-22;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304220000;TrafficFlowObserved;bicycle;False
163;135001721;2023-04-23;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304230000;TrafficFlowObserved;bicycle;False
498;135001721;2023-04-24;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304240000;TrafficFlowObserved;bicycle;False
507;135001721;2023-04-25;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304250000;TrafficFlowObserved;bicycle;False
537;135001721;2023-04-26;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304260000;TrafficFlowObserved;bicycle;False
588;135001721;2023-04-27;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304270000;TrafficFlowObserved;bicycle;False
486;135001721;2023-04-28;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304280000;TrafficFlowObserved;bicycle;False
314;135001721;2023-04-29;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304290000;TrafficFlowObserved;bicycle;False
204;135001721;2023-04-30;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202304300000;TrafficFlowObserved;bicycle;False
