intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
536;253757735;2023-04-03;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304030000;TrafficFlowObserved;bicycle;False
1319;253757735;2023-04-04;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304040000;TrafficFlowObserved;bicycle;False
2;253757735;2023-04-05;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304050000;TrafficFlowObserved;bicycle;False
1181;253757735;2023-04-06;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304060000;TrafficFlowObserved;bicycle;False
1273;253757735;2023-04-07;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304070000;TrafficFlowObserved;bicycle;False
1833;253757735;2023-04-08;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304080000;TrafficFlowObserved;bicycle;False
2246;253757735;2023-04-09;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304090000;TrafficFlowObserved;bicycle;False
2133;253757735;2023-04-10;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304100000;TrafficFlowObserved;bicycle;False
1155;253757735;2023-04-11;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304110000;TrafficFlowObserved;bicycle;False
1060;253757735;2023-04-12;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304120000;TrafficFlowObserved;bicycle;False
909;253757735;2023-04-13;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304130000;TrafficFlowObserved;bicycle;False
751;253757735;2023-04-14;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304140000;TrafficFlowObserved;bicycle;False
632;253757735;2023-04-15;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304150000;TrafficFlowObserved;bicycle;False
1993;253757735;2023-04-16;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304160000;TrafficFlowObserved;bicycle;False
1212;253757735;2023-04-17;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304170000;TrafficFlowObserved;bicycle;False
1465;253757735;2023-04-18;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304180000;TrafficFlowObserved;bicycle;False
1691;253757735;2023-04-19;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304190000;TrafficFlowObserved;bicycle;False
1461;253757735;2023-04-20;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304200000;TrafficFlowObserved;bicycle;False
720;253757735;2023-04-21;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304210000;TrafficFlowObserved;bicycle;False
879;253757735;2023-04-22;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304220000;TrafficFlowObserved;bicycle;False
1483;253757735;2023-04-23;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304230000;TrafficFlowObserved;bicycle;False
1014;253757735;2023-04-24;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304240000;TrafficFlowObserved;bicycle;False
1190;253757735;2023-04-25;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304250000;TrafficFlowObserved;bicycle;False
1535;253757735;2023-04-26;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304260000;TrafficFlowObserved;bicycle;False
1333;253757735;2023-04-27;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304270000;TrafficFlowObserved;bicycle;False
1118;253757735;2023-04-28;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304280000;TrafficFlowObserved;bicycle;False
1762;253757735;2023-04-29;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304290000;TrafficFlowObserved;bicycle;False
1546;253757735;2023-04-30;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202304300000;TrafficFlowObserved;bicycle;False
2748;253757735;2023-05-01;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305010000;TrafficFlowObserved;bicycle;False
1343;253757735;2023-05-02;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305020000;TrafficFlowObserved;bicycle;False
1603;253757735;2023-05-03;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305030000;TrafficFlowObserved;bicycle;False
1532;253757735;2023-05-04;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305040000;TrafficFlowObserved;bicycle;False
1417;253757735;2023-05-05;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305050000;TrafficFlowObserved;bicycle;False
1866;253757735;2023-05-06;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305060000;TrafficFlowObserved;bicycle;False
2183;253757735;2023-05-07;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305070000;TrafficFlowObserved;bicycle;False
2881;253757735;2023-05-08;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305080000;TrafficFlowObserved;bicycle;False
807;253757735;2023-05-09;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305090000;TrafficFlowObserved;bicycle;False
937;253757735;2023-05-10;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305100000;TrafficFlowObserved;bicycle;False
1179;253757735;2023-05-11;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305110000;TrafficFlowObserved;bicycle;False
5;253757735;2023-05-12;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202305120000;TrafficFlowObserved;bicycle;False
920;253757735;2023-07-11;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202307110000;TrafficFlowObserved;bicycle;False
1309;253757735;2023-07-12;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202307120000;TrafficFlowObserved;bicycle;False
1366;253757735;2023-07-13;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202307130000;TrafficFlowObserved;bicycle;False
1843;253757735;2023-07-14;3.907998;43.584349;MMM_EcoCompt_X2H21070351_202307140000;TrafficFlowObserved;bicycle;False
