intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
541;563323786;2023-04-01;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304010000;TrafficFlowObserved;bicycle;False
472;563323786;2023-04-02;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304020000;TrafficFlowObserved;bicycle;False
1053;563323786;2023-04-03;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304030000;TrafficFlowObserved;bicycle;False
1184;563323786;2023-04-04;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304040000;TrafficFlowObserved;bicycle;False
1190;563323786;2023-04-05;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304050000;TrafficFlowObserved;bicycle;False
1193;563323786;2023-04-06;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304060000;TrafficFlowObserved;bicycle;False
991;563323786;2023-04-07;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304070000;TrafficFlowObserved;bicycle;False
595;563323786;2023-04-08;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304080000;TrafficFlowObserved;bicycle;False
402;563323786;2023-04-09;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304090000;TrafficFlowObserved;bicycle;False
459;563323786;2023-04-10;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304100000;TrafficFlowObserved;bicycle;False
1108;563323786;2023-04-11;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304110000;TrafficFlowObserved;bicycle;False
1102;563323786;2023-04-12;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304120000;TrafficFlowObserved;bicycle;False
1142;563323786;2023-04-13;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304130000;TrafficFlowObserved;bicycle;False
1017;563323786;2023-04-14;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304140000;TrafficFlowObserved;bicycle;False
661;563323786;2023-04-15;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304150000;TrafficFlowObserved;bicycle;False
473;563323786;2023-04-16;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304160000;TrafficFlowObserved;bicycle;False
1038;563323786;2023-04-17;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304170000;TrafficFlowObserved;bicycle;False
1174;563323786;2023-04-18;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304180000;TrafficFlowObserved;bicycle;False
1282;563323786;2023-04-19;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304190000;TrafficFlowObserved;bicycle;False
1168;563323786;2023-04-20;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304200000;TrafficFlowObserved;bicycle;False
395;563323786;2023-04-23;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304230000;TrafficFlowObserved;bicycle;False
880;563323786;2023-04-24;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304240000;TrafficFlowObserved;bicycle;False
762;563323786;2023-04-25;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304250000;TrafficFlowObserved;bicycle;False
744;563323786;2023-04-26;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304260000;TrafficFlowObserved;bicycle;False
731;563323786;2023-04-27;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304270000;TrafficFlowObserved;bicycle;False
686;563323786;2023-04-28;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202304280000;TrafficFlowObserved;bicycle;False
356;563323786;2023-05-02;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305020000;TrafficFlowObserved;bicycle;False
802;563323786;2023-05-04;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305040000;TrafficFlowObserved;bicycle;False
802;563323786;2023-05-05;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305050000;TrafficFlowObserved;bicycle;False
350;563323786;2023-05-06;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305060000;TrafficFlowObserved;bicycle;False
318;563323786;2023-05-07;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305070000;TrafficFlowObserved;bicycle;False
485;563323786;2023-05-08;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305080000;TrafficFlowObserved;bicycle;False
1061;563323786;2023-05-09;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305090000;TrafficFlowObserved;bicycle;False
994;563323786;2023-05-10;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305100000;TrafficFlowObserved;bicycle;False
1167;563323786;2023-05-11;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305110000;TrafficFlowObserved;bicycle;False
872;563323786;2023-05-12;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305120000;TrafficFlowObserved;bicycle;False
583;563323786;2023-05-13;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305130000;TrafficFlowObserved;bicycle;False
478;563323786;2023-05-14;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305140000;TrafficFlowObserved;bicycle;False
1034;563323786;2023-05-15;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305150000;TrafficFlowObserved;bicycle;False
1108;563323786;2023-05-16;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305160000;TrafficFlowObserved;bicycle;False
1180;563323786;2023-05-17;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305170000;TrafficFlowObserved;bicycle;False
511;563323786;2023-05-18;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305180000;TrafficFlowObserved;bicycle;False
591;563323786;2023-05-19;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305190000;TrafficFlowObserved;bicycle;False
417;563323786;2023-05-20;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305200000;TrafficFlowObserved;bicycle;False
341;563323786;2023-05-21;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305210000;TrafficFlowObserved;bicycle;False
932;563323786;2023-05-22;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305220000;TrafficFlowObserved;bicycle;False
856;563323786;2023-05-23;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305230000;TrafficFlowObserved;bicycle;False
1025;563323786;2023-05-24;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305240000;TrafficFlowObserved;bicycle;False
1059;563323786;2023-05-25;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305250000;TrafficFlowObserved;bicycle;False
1013;563323786;2023-05-26;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305260000;TrafficFlowObserved;bicycle;False
562;563323786;2023-05-27;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305270000;TrafficFlowObserved;bicycle;False
475;563323786;2023-05-28;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305280000;TrafficFlowObserved;bicycle;False
394;563323786;2023-05-29;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305290000;TrafficFlowObserved;bicycle;False
1116;563323786;2023-05-30;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305300000;TrafficFlowObserved;bicycle;False
1116;563323786;2023-05-31;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202305310000;TrafficFlowObserved;bicycle;False
1219;563323786;2023-06-01;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306010000;TrafficFlowObserved;bicycle;False
1125;563323786;2023-06-02;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306020000;TrafficFlowObserved;bicycle;False
674;563323786;2023-06-03;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306030000;TrafficFlowObserved;bicycle;False
503;563323786;2023-06-04;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306040000;TrafficFlowObserved;bicycle;False
1020;563323786;2023-06-05;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306050000;TrafficFlowObserved;bicycle;False
1123;563323786;2023-06-06;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306060000;TrafficFlowObserved;bicycle;False
1150;563323786;2023-06-07;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306070000;TrafficFlowObserved;bicycle;False
1228;563323786;2023-06-08;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306080000;TrafficFlowObserved;bicycle;False
915;563323786;2023-06-09;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306090000;TrafficFlowObserved;bicycle;False
594;563323786;2023-06-10;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306100000;TrafficFlowObserved;bicycle;False
526;563323786;2023-06-11;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306110000;TrafficFlowObserved;bicycle;False
987;563323786;2023-06-12;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306120000;TrafficFlowObserved;bicycle;False
1021;563323786;2023-06-13;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306130000;TrafficFlowObserved;bicycle;False
1118;563323786;2023-06-14;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306140000;TrafficFlowObserved;bicycle;False
1210;563323786;2023-06-15;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306150000;TrafficFlowObserved;bicycle;False
1108;563323786;2023-06-16;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306160000;TrafficFlowObserved;bicycle;False
779;563323786;2023-06-17;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306170000;TrafficFlowObserved;bicycle;False
489;563323786;2023-06-18;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306180000;TrafficFlowObserved;bicycle;False
1066;563323786;2023-06-19;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306190000;TrafficFlowObserved;bicycle;False
1152;563323786;2023-06-20;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306200000;TrafficFlowObserved;bicycle;False
1319;563323786;2023-06-21;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306210000;TrafficFlowObserved;bicycle;False
997;563323786;2023-06-22;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306220000;TrafficFlowObserved;bicycle;False
1029;563323786;2023-06-23;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306230000;TrafficFlowObserved;bicycle;False
604;563323786;2023-06-24;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306240000;TrafficFlowObserved;bicycle;False
478;563323786;2023-06-25;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306250000;TrafficFlowObserved;bicycle;False
939;563323786;2023-06-26;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306260000;TrafficFlowObserved;bicycle;False
1043;563323786;2023-06-27;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306270000;TrafficFlowObserved;bicycle;False
1068;563323786;2023-06-28;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306280000;TrafficFlowObserved;bicycle;False
1120;563323786;2023-06-29;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306290000;TrafficFlowObserved;bicycle;False
959;563323786;2023-06-30;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202306300000;TrafficFlowObserved;bicycle;False
571;563323786;2023-07-01;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202307010000;TrafficFlowObserved;bicycle;False
484;563323786;2023-07-02;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202307020000;TrafficFlowObserved;bicycle;False
922;563323786;2023-07-03;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202307030000;TrafficFlowObserved;bicycle;False
1035;563323786;2023-07-04;3.870090;43.614640;MMM_EcoCompt_X2H21111121_202307040000;TrafficFlowObserved;bicycle;False
