intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
57;60703959;2023-04-01;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304010000;TrafficFlowObserved;bicycle;False
43;60703959;2023-04-02;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304020000;TrafficFlowObserved;bicycle;False
112;60703959;2023-04-03;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304030000;TrafficFlowObserved;bicycle;False
135;60703959;2023-04-04;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304040000;TrafficFlowObserved;bicycle;False
0;60703959;2023-04-05;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304050000;TrafficFlowObserved;bicycle;False
85;60703959;2023-04-06;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304060000;TrafficFlowObserved;bicycle;False
105;60703959;2023-04-07;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304070000;TrafficFlowObserved;bicycle;False
61;60703959;2023-04-08;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304080000;TrafficFlowObserved;bicycle;False
42;60703959;2023-04-09;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304090000;TrafficFlowObserved;bicycle;False
51;60703959;2023-04-10;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304100000;TrafficFlowObserved;bicycle;False
102;60703959;2023-04-11;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304110000;TrafficFlowObserved;bicycle;False
98;60703959;2023-04-12;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304120000;TrafficFlowObserved;bicycle;False
91;60703959;2023-04-13;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304130000;TrafficFlowObserved;bicycle;False
80;60703959;2023-04-14;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304140000;TrafficFlowObserved;bicycle;False
54;60703959;2023-04-15;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304150000;TrafficFlowObserved;bicycle;False
43;60703959;2023-04-16;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304160000;TrafficFlowObserved;bicycle;False
88;60703959;2023-04-17;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304170000;TrafficFlowObserved;bicycle;False
98;60703959;2023-04-18;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304180000;TrafficFlowObserved;bicycle;False
95;60703959;2023-04-19;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304190000;TrafficFlowObserved;bicycle;False
91;60703959;2023-04-20;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304200000;TrafficFlowObserved;bicycle;False
79;60703959;2023-04-21;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304210000;TrafficFlowObserved;bicycle;False
56;60703959;2023-04-22;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304220000;TrafficFlowObserved;bicycle;False
33;60703959;2023-04-23;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304230000;TrafficFlowObserved;bicycle;False
68;60703959;2023-04-24;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304240000;TrafficFlowObserved;bicycle;False
61;60703959;2023-04-25;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304250000;TrafficFlowObserved;bicycle;False
61;60703959;2023-04-26;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304260000;TrafficFlowObserved;bicycle;False
59;60703959;2023-04-27;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304270000;TrafficFlowObserved;bicycle;False
74;60703959;2023-04-28;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304280000;TrafficFlowObserved;bicycle;False
52;60703959;2023-04-29;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304290000;TrafficFlowObserved;bicycle;False
21;60703959;2023-04-30;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202304300000;TrafficFlowObserved;bicycle;False
34;60703959;2023-05-01;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305010000;TrafficFlowObserved;bicycle;False
65;60703959;2023-05-02;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305020000;TrafficFlowObserved;bicycle;False
69;60703959;2023-05-03;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305030000;TrafficFlowObserved;bicycle;False
69;60703959;2023-05-04;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305040000;TrafficFlowObserved;bicycle;False
64;60703959;2023-05-05;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305050000;TrafficFlowObserved;bicycle;False
42;60703959;2023-05-06;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305060000;TrafficFlowObserved;bicycle;False
22;60703959;2023-05-07;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305070000;TrafficFlowObserved;bicycle;False
27;60703959;2023-05-08;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305080000;TrafficFlowObserved;bicycle;False
57;60703959;2023-05-09;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305090000;TrafficFlowObserved;bicycle;False
52;60703959;2023-05-10;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305100000;TrafficFlowObserved;bicycle;False
83;60703959;2023-05-11;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305110000;TrafficFlowObserved;bicycle;False
48;60703959;2023-05-12;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305120000;TrafficFlowObserved;bicycle;False
42;60703959;2023-05-13;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305130000;TrafficFlowObserved;bicycle;False
32;60703959;2023-05-14;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305140000;TrafficFlowObserved;bicycle;False
74;60703959;2023-05-15;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305150000;TrafficFlowObserved;bicycle;False
62;60703959;2023-05-16;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305160000;TrafficFlowObserved;bicycle;False
66;60703959;2023-05-17;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305170000;TrafficFlowObserved;bicycle;False
4;60703959;2023-05-18;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305180000;TrafficFlowObserved;bicycle;False
50;60703959;2023-05-19;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305190000;TrafficFlowObserved;bicycle;False
4;60703959;2023-05-20;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305200000;TrafficFlowObserved;bicycle;False
2;60703959;2023-05-21;3.929726;43.637508;MMM_EcoCompt_X2H22043032_202305210000;TrafficFlowObserved;bicycle;False
