node,intensity
649970,1108.069641294752
649978,1120.5046688421135
653187,553.5309902326492
653250,1160.7186196275143
653260,1157.4226571234024
653275,1105.1049884159215
653280,1062.6175918679971
653281,1067.1246667776957
653288,1107.9200212371838
653296,1067.779309387618
653297,1072.662323381643
653353,427.84751115830335
653354,428.5009203119146
653355,428.92865618750665
653463,1098.867184089995
653595,1525.4308351863626
653601,1558.9285869756236
653604,1535.6288665744032
653605,1531.350334659745
653606,1527.1319824741151
653610,1064.8455123736069
5539871,1780.9230464481936
5539872,1777.4718869764658
5539882,1281.0858277567006
5539893,1251.3495405427946
5541107,891.6454667882496
5542572,570.8186509542111
5542574,569.6536965853805
5713146,425.53396189008004
6348018,1119.7831446175271
6348032,1143.1341062589993
6348047,1117.7051440452688
6348219,1057.9973369515296
6348224,1063.481159965701
6348241,1055.78639927327
6348242,1055.1806026225938
6348326,558.4059735445609
6356719,415.20457996110395
6358609,677.4728716004784
8977189,871.935717743042
8977518,738.051578336497
8977519,781.661393740065
8977520,820.8764138303347
8977524,928.0443443478324
8977548,1138.0545819031488
8977552,1149.986051009523
8977554,1170.2277314788382
8978337,559.2959287771317
8978338,560.0711939325267
8978869,618.4963059308817
8978878,975.2058885558595
8978880,1244.8654621108035
8978881,1372.4621986324923
8978883,1233.1424968818046
8978888,1193.6120464617813
8979285,428.851302042766
8979429,207.2698259772075
13882639,101.69621153661932
13883009,117.46080943695824
13883021,109.98287805489745
13883024,109.70706371246514
13883026,109.91016040076909
13883028,110.20519175264967
13883030,110.3107226362132
13883032,110.15991782203496
13883045,108.81144252985554
13883050,109.5100397650563
13883052,110.09087495029803
13883098,351.896890333924
13883100,354.27167407053577
13883104,357.263653070594
14960782,146.6436887865042
14960786,198.15095993073396
14995446,1088.058561884877
14995484,1219.532211485971
14995487,918.0907839035864
14995490,915.190575306246
14995494,920.7747259970129
14995496,921.0451241033043
14995498,919.296836170317
14995526,925.2834883789377
20931418,472.7281771190441
20931421,477.5809784197924
20931428,463.1016957815038
20931429,460.51753733748933
20931433,462.2213844206537
20931437,417.7287269915988
20931438,418.07943287041115
20931442,415.4152096096694
20931450,405.0501805821405
20931456,404.6787822251133
20931464,471.4093670759729
20931465,473.6477953927394
20931473,289.14962714404993
20931474,285.9330100026078
20931480,294.4776492373903
20931484,281.1065778209764
20931487,279.2536285940624
20931489,275.0648813101742
20931492,276.17794817988766
20931497,183.06475197591047
20931499,186.92431278759193
20931509,449.50044595378813
20931511,448.19291798253306
20931515,447.53131823388054
20931516,448.22776860353787
20931526,424.7862557787158
20931549,423.0873116407698
20931551,428.62856674600334
20932621,1091.0244830191477
20932623,1129.7475548514078
20932624,1305.449225502864
20932627,1578.1304110638341
20932628,1548.1058889377884
20932638,1043.3364504062024
20932644,1486.4604319452453
20932646,1479.6703604140296
20932654,402.0669946714028
20932659,398.68168798060174
20932667,467.53231953855277
20932673,449.61682808782115
20932685,305.33126390589075
20932686,302.8706440560731
20932692,303.07507608593977
20932694,303.3687929846826
20932711,308.7483908624446
20932717,279.48519865802825
20932720,280.3208754322755
20932734,308.6982363430441
20932735,308.504886226779
20932737,308.25412121707666
20932738,309.8227439090519
20932744,309.8326788174226
20932758,302.5943056903209
20932764,301.19458530181515
20932765,301.0922372106638
20932779,229.58604240413516
20932780,230.31696493670063
20932782,230.30732815274908
20932784,228.51066311534026
20932789,228.84287636426203
20932795,229.48628848596877
20932796,229.33231378022614
20932799,214.06443951371497
20932806,207.16788336648182
20932815,202.15855885636543
20932828,165.2670580385005
20932830,166.24922194773032
20932832,168.57049158492265
20932837,185.6178536583409
20932838,189.89675049490378
20932840,195.52401185568843
20932842,195.0347344614747
20932843,194.98734160833348
20932846,195.5134633515447
20932862,204.70696265033277
20932867,207.17341366799172
20932869,208.880419210095
20932870,209.03261574854838
20932871,209.86706290968397
20932918,415.7111754093827
20932957,282.51130601104893
20932960,278.91827226792117
20932975,235.19059616246162
20932980,495.45869319951737
20932984,1271.7722506410844
20932987,1672.4296064230707
20933248,985.7681569695294
20933257,1058.9533432458923
20933266,1064.58372219696
20933267,1053.1623709732876
20933268,1065.7818347367115
20933271,1085.5157691664137
20933274,1105.4867547472759
20933276,1128.944788777545
20933285,1173.461688789136
20933334,663.274312497188
20933337,683.1441251124587
20933366,754.80052947405
20933371,883.4178212479636
20933414,101.90451877685996
20933415,101.71000269899582
20933416,101.6111714061027
20933418,101.2053204336338
20933419,101.29374488674128
20933423,101.9078796502796
20933426,104.63329100495775
20933427,104.690996205104
20933428,104.73181960122149
20933434,104.59118275693538
21670141,688.4699592011864
21670305,1187.0681544863078
21670408,1850.5915947820356
21671426,1245.9966355108086
26563358,132.92781254445035
28379465,100.33138642603903
28379473,95.87638081937972
28379475,94.84508754689324
28379480,93.64562435373831
28379482,93.20714760430693
28379485,94.18016008180838
28379487,94.63183811656023
28379496,74.29198840195643
28379497,74.15002938189907
28379498,77.10079257820398
28379499,79.49488067615533
28379500,80.03424006271973
28379501,80.21533440008668
28379504,85.39810834550757
28379508,100.26373989767436
28379511,101.0121471709419
28379515,101.41832597671022
28379517,101.04748259556082
28379523,100.95015175845712
28871236,103.46868716833097
31327751,943.932679653226
31327752,974.4623700195122
31343583,124.34999283006083
31343586,137.26552532907652
31343587,138.82192571350842
31343591,125.01527588563637
31382654,1029.7155790103086
31382656,1032.463511840232
31382664,576.3256276549624
31382672,590.2941124947998
31382673,444.89698581850956
31382674,441.91986781041686
31382681,563.2197857916667
31382682,537.1884757092929
31382684,522.7400294428968
31382685,449.81165443700223
31382691,449.4285292066614
31383151,582.1559746977716
31383278,983.6099641716183
36298519,568.8589018445617
36299392,551.7192080630833
36316210,570.6616516331949
36317083,565.9412004901151
36317086,569.7801921601028
